,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,scenemonitor.csv,avisynth2.csv,gephex.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv
adonthell.csv,0.46,0.7,0.44,0.63,0.75,0.39,0.35,0.72,0.42,0.89,0.38
avisynth2.csv,0.89,0.5,0.5,0.75,0.67,0.8,0.67,0.75,0.83,0.0,0.0
coot.csv,0.0,0.56,0.65,0.52,0.36,0.75,0.43,0.48,0.61,0.43,0.44
dsworkbench.csv,0.5,0.89,0.86,0.0,0.86,0.94,0.94,0.97,0.92,0.88,0.92
freelords.csv,0.38,0.51,0.48,0.38,0.35,0.46,0.44,0.48,0.43,0.45,0.4
gephex.csv,0.38,0.53,0.46,0.53,0.48,0.67,0.53,0.7,0.51,0.46,0.39
jas.csv,0.93,0.51,0.74,0.89,0.92,0.63,0.59,0.46,0.76,0.62,0.5
jpaul.csv,0.44,0.0,0.91,0.46,0.73,0.75,0.0,0.96,0.63,0.0,0.0
ngl.csv,0.36,0.5,0.44,0.4,0.33,0.55,0.38,0.48,0.47,0.44,0.38
scenemonitor.csv,0.39,0.68,0.59,0.64,0.48,0.83,0.93,0.62,0.61,0.94,0.91
synecdoche.csv,0.41,0.74,0.36,0.45,0.42,0.88,0.47,0.78,0.57,0.48,0.55
