,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv
adobe-source.csv,0.16,0.31,0.13,0.02,0.12,0.14,0.32,0.17,0.41,0.14
aubit4gl.csv,0.02,0.14,0.16,0.2,0.44,0.42,0.13,0.22,0.52,0.04
liferea.csv,0.63,0.43,0.45,0.3,0.35,0.19,0.19,0.42,0.14,0.26
moving-pictures.csv,0.31,0.33,0.53,0.18,0.25,0.12,0.23,0.03,0.01,0.13
opensim4opencog.csv,0.38,0.63,0.45,0.45,0.83,0.27,0.35,0.23,0.26,0.35
plearn.csv,0.34,0.45,0.43,0.09,0.1,0.28,0.52,0.08,0.29,0.38
psrchive.csv,0.31,0.12,0.21,0.55,0.6,0.5,0.42,0.65,0.44,0.23
re2c.csv,0.24,0.02,0.52,0.32,0.21,0.56,0.58,0.26,0.48,0.48
rebecca-aiml.csv,0.37,0.47,0.61,0.75,0.69,0.55,0.87,0.21,0.15,0.35
xfce.csv,0.51,0.78,0.57,0.32,0.73,0.81,0.77,0.43,0.51,0.73
