,paintown.csv,triplea.csv,fbmanager.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,itext.csv,powerfolder.csv,smartgwt.csv,fido.csv,megameknet.csv,fityk.csv,ondex.csv,poormans.csv,fleet-simulator.csv,hibernate.csv,ninject.csv
dspace-gsoc.csv,2.0,2.0,0.0,1.0,67.0,0.0,0.0,1.0,89.0,2.0,22.0,1.0,1.0,1.0,30.0,0.0,12.0,14.0
fbmanager.csv,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,21.0,10.0,12.0,1.0,1.0,4.0,0.0,0.0,561.0,5.0
fido.csv,140.0,0.0,64.0,0.0,350.0,1.0,54.0,63.0,125.0,0.0,2.0,306.0,65.0,0.0,161.0,0.0,1.0,59.0
fityk.csv,6.0,1.0,1.0,4.0,25.0,1.0,2.0,1.0,39.0,2.0,26.0,1.0,0.0,1.0,24.0,0.0,7.0,21.0
fleet-simulator.csv,10.0,0.0,10.0,0.0,15.0,0.0,2.0,5.0,82.0,3.0,17.0,0.0,1.0,2.0,14.0,0.0,5.0,26.0
google-caja.csv,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,86.0,2.0,18.0,1.0,0.0,1.0,10.0,0.0,8.0,19.0
hibernate.csv,4.0,1.0,2.0,1.0,36.0,3.0,0.0,0.0,58.0,2.0,6.0,2.0,0.0,1.0,10.0,0.0,5.0,29.0
itext.csv,1.0,0.0,2.0,1.0,14.0,0.0,0.0,1.0,68.0,1.0,30.0,2.0,2.0,2.0,6.0,1.0,9.0,24.0
k3b.csv,0.0,2.0,1.0,5.0,9.0,1.0,1.0,2.0,47.0,0.0,42.0,4.0,3.0,5.0,5.0,7.0,6.0,27.0
megameknet.csv,7.0,2.0,0.0,1.0,31.0,0.0,3.0,4.0,71.0,0.0,106.0,2.0,3.0,6.0,29.0,2.0,2.0,29.0
myfaces.csv,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,60.0,3.0,21.0,3.0,0.0,1.0,3.0,0.0,4.0,15.0
ninject.csv,2.0,0.0,3.0,4.0,4.0,0.0,2.0,0.0,54.0,2.0,15.0,1.0,0.0,17.0,7.0,4.0,0.0,0.0
ondex.csv,7.0,0.0,0.0,0.0,16.0,0.0,1.0,1.0,75.0,4.0,11.0,3.0,0.0,0.0,12.0,0.0,12.0,10.0
paintown.csv,0.0,2.0,1.0,1.0,37.0,0.0,0.0,3.0,83.0,2.0,21.0,5.0,0.0,2.0,41.0,2.0,13.0,33.0
poormans.csv,6.0,0.0,0.0,0.0,29.0,1.0,0.0,1.0,7.0,2.0,106.0,0.0,1.0,13.0,0.0,0.0,1.0,1.0
powerfolder.csv,2.0,1.0,0.0,0.0,43.0,0.0,0.0,0.0,3.0,18.0,20.0,6.0,0.0,0.0,8.0,1.0,8.0,22.0
smartgwt.csv,2.0,2.0,0.0,0.0,17.0,1.0,0.0,4.0,4.0,0.0,6.0,2.0,0.0,0.0,4.0,2.0,0.0,27.0
triplea.csv,0.0,1.0,0.0,0.0,37.0,0.0,1.0,1.0,73.0,2.0,20.0,3.0,0.0,4.0,43.0,0.0,2.0,19.0
