,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv
ikvm.csv,0.53,0.83,0.05,0.17,0.53,0.71,0.48,0.25,0.16,0.48
libtorrent.csv,0.81,0.5,0.12,0.43,0.85,0.84,0.68,0.27,0.41,0.89
mcmc-jags.csv,0.57,0.48,0.09,0.71,0.78,0.78,0.69,0.34,0.26,0.86
nebuladevice.csv,0.75,0.15,0.0,0.35,0.0,0.56,0.51,0.13,0.44,0.84
olap-navigator.csv,0.89,0.4,0.18,0.53,0.72,0.57,0.57,0.32,0.45,0.9
pidgin.csv,0.41,0.51,0.13,0.12,0.78,0.54,0.62,0.31,0.29,0.62
salasaga.csv,0.59,0.53,0.08,0.43,0.77,0.67,0.72,0.39,0.17,0.91
sepgsql.csv,0.71,0.44,0.19,0.32,0.75,0.52,0.59,0.3,0.11,0.86
xstore.csv,0.62,0.28,0.09,0.54,0.84,0.5,0.72,0.36,0.23,0.9
xtreemfs.csv,0.75,0.48,0.09,0.4,0.8,0.64,0.68,0.28,0.07,0.9
