,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv
applet2app.csv,0.68,0.54,0.67,0.52,0.47,0.41,0.42,0.64,0.56,0.59
cities3d.csv,1.0,0.7,0.83,0.68,0.87,0.43,0.52,1.0,0.77,0.65
firebird.csv,0.64,0.53,0.55,0.51,0.45,0.61,0.43,0.86,0.83,0.56
hydrogen.csv,0.8,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0
lphant.csv,0.48,0.48,0.59,0.57,0.57,0.43,0.36,0.71,0.41,0.63
open-ms.csv,0.59,0.49,0.72,0.66,0.83,0.75,0.4,0.51,0.6,0.62
qgo.csv,0.66,0.17,0.78,0.52,0.49,0.83,0.4,0.67,0.91,0.72
rhex.csv,0.35,0.63,0.74,0.73,0.72,0.61,0.45,0.82,0.95,0.68
xined.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.48,1.0,1.0
yield.csv,0.71,0.48,0.54,0.88,0.34,1.0,0.6,0.77,0.76,0.71
