,sauerbraten.csv,lazarus-ccr.csv,linuxsh.csv,xuggle.csv,moviesandbox.csv,migen.csv,scite-ru.csv,vrjuggler.csv,alleg.csv,chaosrts.csv
alleg.csv,0.39,0.4,0.64,0.58,0.51,0.52,0.41,0.46,0.72,0.26
chaosrts.csv,0.38,0.81,0.0,0.62,0.29,0.51,0.51,0.14,0.0,0.78
lazarus-ccr.csv,0.5,0.81,0.0,0.32,0.54,0.56,0.51,0.56,0.0,0.65
linuxsh.csv,0.62,0.52,0.57,0.2,0.59,0.41,0.0,0.07,0.19,0.11
migen.csv,0.66,0.42,0.4,0.58,0.6,0.67,0.06,0.07,0.21,0.59
moviesandbox.csv,0.71,0.45,0.5,0.53,0.67,0.56,0.12,0.07,0.2,0.57
sauerbraten.csv,0.77,0.76,0.0,0.54,0.33,0.38,0.24,0.0,0.5,0.37
scite-ru.csv,0.56,0.17,0.17,0.66,0.37,0.33,0.43,0.55,0.5,0.0
vrjuggler.csv,0.0,0.1,0.0,0.0,0.09,0.18,0.28,0.71,0.01,0.2
xuggle.csv,0.7,0.63,0.57,0.77,0.63,0.58,0.62,0.22,0.62,0.41
