,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,mecat.csv,emite.csv,fluent-nhibernate.csv,uface.csv,cme.csv
boost-sandbox.csv,0.9,0.47,0.53,0.6,0.42,0.39,0.57,0.42,0.33,0.46,0.52,0.38,0.62,0.51,0.44
bscwweasel.csv,0.67,0.0,0.52,0.67,0.55,0.65,0.93,0.4,0.94,0.38,0.71,0.81,0.72,0.51,0.45
capcode.csv,0.8,0.46,0.52,0.51,0.67,0.63,0.7,0.88,0.68,0.46,0.52,0.68,0.57,0.54,0.42
cme.csv,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83
emite.csv,0.33,0.42,0.57,0.8,0.45,0.55,0.72,0.94,0.93,0.93,0.89,0.5,0.79,0.65,0.77
fluent-nhibernate.csv,0.67,0.94,0.58,0.94,0.39,0.9,0.55,0.87,0.4,0.44,0.61,0.65,0.6,0.66,0.88
lamp.csv,0.8,0.6,0.71,0.45,0.34,0.38,0.39,0.61,0.38,0.36,0.33,0.62,0.51,0.46,0.39
mecat.csv,0.0,0.67,0.67,0.88,0.8,0.92,0.0,0.94,0.0,0.91,0.82,0.0,0.92,0.5,0.5
nodal.csv,0.0,0.92,0.77,0.68,0.91,0.88,0.5,0.83,0.61,0.41,0.57,0.86,0.52,0.59,0.57
pydev.csv,0.36,0.56,0.69,0.46,0.38,0.5,0.62,0.43,0.58,0.47,0.43,0.79,0.49,0.47,0.38
retromenu.csv,0.41,0.62,0.47,0.7,0.42,0.44,0.93,0.6,0.92,0.45,0.61,0.92,0.52,0.93,0.86
smbopensoft.csv,0.4,0.4,0.49,0.61,0.38,0.69,0.5,0.67,0.66,0.47,0.52,0.42,0.81,0.45,0.48
stuproa-cims.csv,0.0,0.86,0.57,0.57,0.38,0.79,0.75,0.79,0.37,0.41,0.42,0.67,0.67,0.43,0.57
thout.csv,0.79,0.43,0.56,0.9,0.4,0.39,0.41,0.36,0.33,0.42,0.35,0.38,0.43,0.45,0.46
uface.csv,0.27,0.4,0.47,0.42,0.32,0.36,0.39,0.4,0.4,0.38,0.32,0.37,0.41,0.38,0.37
