,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,xinity.csv,gss.csv,linux-ntfs.csv,growl-for-windows.csv,libarchive.csv
awemud.csv,0.43,0.31,0.5,0.13,0.39,0.05,0.37,0.42,0.24,0.0,0.72,0.65,0.3,0.52,0.33,0.16
bullet.csv,0.6,0.44,0.77,0.01,0.28,0.33,0.35,0.34,0.22,0.0,0.45,0.42,0.85,0.41,0.56,0.22
customwars.csv,0.23,0.22,0.36,0.01,0.22,0.43,0.22,0.36,0.27,0.0,0.33,0.81,0.35,0.28,0.28,0.31
dvd-create.csv,0.43,0.62,0.43,0.95,0.11,0.24,0.81,0.64,0.48,0.0,0.87,0.62,0.75,0.76,0.89,0.47
gbif-indexingtoolkit.csv,0.67,0.33,0.8,0.92,0.5,0.86,0.75,0.34,0.9,0.0,0.69,0.31,0.75,0.59,0.83,0.87
go.csv,0.67,0.22,0.32,0.7,0.39,0.29,0.48,0.78,0.4,0.0,0.82,0.69,0.55,0.76,0.22,0.47
growl-for-windows.csv,0.3,0.0,0.3,0.01,0.11,0.1,0.38,0.56,0.0,0.0,0.93,0.5,0.85,0.21,0.11,0.0
gss.csv,0.63,0.8,0.62,0.08,0.33,0.71,0.43,0.74,0.49,0.0,0.89,0.96,0.15,0.62,0.83,0.46
kwave.csv,0.43,1.0,0.18,1.0,1.0,0.33,0.64,0.62,0.53,0.07,0.69,0.73,0.2,0.52,0.89,1.0
libarchive.csv,0.53,0.51,0.48,0.05,0.56,0.62,0.69,0.92,0.46,0.56,0.94,0.92,0.45,0.83,0.83,0.21
linux-ntfs.csv,0.47,0.73,0.71,0.26,0.5,0.57,0.29,0.5,0.06,0.76,0.65,0.81,0.6,0.41,0.89,0.38
lsb.csv,0.4,0.62,0.71,0.13,0.83,0.43,0.27,0.24,0.27,0.0,0.87,0.65,0.9,0.52,0.56,0.38
mpgravity.csv,0.8,0.38,0.61,0.87,0.61,0.62,0.91,0.88,0.0,0.2,1.0,0.81,0.95,0.9,0.67,0.81
qcad2.csv,0.33,0.11,0.12,0.11,0.28,0.38,0.32,0.44,0.35,0.15,0.42,0.69,0.65,0.59,0.33,0.43
qtwin.csv,0.07,0.0,0.02,0.0,0.0,0.14,0.03,0.42,0.09,0.12,0.34,0.27,0.05,0.21,0.06,0.0
xinity.csv,0.67,1.0,0.34,1.0,1.0,0.62,0.66,0.36,0.72,1.0,0.21,0.46,0.7,0.72,0.56,0.99
