,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv,factor.csv
factor.csv,0.36,1.0,0.18,0.33,0.83,0.58,0.62,0.0,0.19,1.0,0.93
fceugc.csv,0.22,0.67,0.2,0.58,0.66,0.58,0.69,0.28,0.23,0.62,0.71
flexpay.csv,0.16,0.43,0.26,0.22,0.0,0.74,0.74,0.38,0.12,0.68,0.25
jstock.csv,0.17,0.64,0.2,0.42,0.91,0.74,0.84,0.55,0.27,0.85,0.86
keyczar.csv,0.23,0.38,0.18,0.1,0.15,0.25,0.57,0.2,0.31,0.86,0.6
modellus.csv,0.14,0.83,0.21,0.62,0.83,0.8,0.79,0.5,0.26,0.69,0.8
open-data-kit.csv,0.2,0.57,0.16,0.34,0.67,0.53,0.84,0.39,0.17,0.89,0.71
phet.csv,0.43,0.45,0.1,0.2,0.18,0.3,0.53,0.2,0.15,0.77,0.56
qtractor.csv,0.13,0.76,0.21,0.48,0.62,0.67,0.82,0.5,0.21,1.0,0.77
sumatrapdf.csv,0.23,0.65,0.17,0.37,0.71,0.58,0.66,0.33,0.22,0.76,0.7
synergyspace.csv,0.21,0.56,0.17,0.25,0.52,0.7,0.62,0.19,0.4,0.73,0.17
