,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,primefaces.csv,web-cat.csv
cleartk.csv,0.02,0.9,0.35,0.99,0.25,0.32,0.84,0.91,0.36,0.22,0.05,0.42,0.73,0.28
encog-cs.csv,0.01,0.92,0.26,0.86,0.25,0.3,0.74,0.93,0.59,0.14,0.02,0.33,0.59,0.42
extprosys.csv,0.02,0.86,0.42,0.92,0.27,0.27,0.73,0.91,0.37,0.19,0.05,0.31,0.61,0.38
intact.csv,0.02,0.88,0.29,0.93,0.3,0.48,0.92,0.94,0.46,0.19,0.04,0.24,0.43,0.33
japano.csv,0.0,0.88,0.31,0.87,0.3,0.29,0.77,0.97,0.35,0.17,0.02,0.35,0.59,0.41
lockss.csv,0.04,1.0,0.5,1.0,0.31,0.27,0.86,0.93,0.55,0.27,0.06,0.27,1.0,0.53
officefloor.csv,0.02,1.0,0.3,0.92,0.39,0.33,1.0,0.9,0.42,0.19,0.07,0.25,0.67,0.31
opennms.csv,0.02,0.81,0.5,1.0,0.47,0.33,0.8,1.0,0.56,0.25,0.05,0.27,0.5,0.0
primefaces.csv,0.01,0.86,0.28,0.9,0.27,0.28,0.77,0.93,0.36,0.19,0.03,0.35,0.82,0.4
rohxel.csv,0.03,0.93,0.28,0.88,0.27,0.5,0.91,1.0,0.69,0.31,0.02,0.35,0.64,0.4
roolo.csv,0.01,0.91,0.29,0.87,0.27,0.28,0.79,0.93,0.35,0.17,0.03,0.64,0.58,0.41
sevenupdate.csv,0.01,1.0,0.28,0.88,0.25,0.29,0.78,0.93,0.36,0.18,0.03,0.35,0.59,0.38
web-cat.csv,0.0,1.0,0.0,0.85,0.22,0.38,0.73,0.91,0.31,0.12,0.02,0.27,0.79,0.67
