,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv
adobe-source.csv,0.51,0.26,0.46,0.0,1.0,0.12,0.6,0.82,0.18,0.49
aubit4gl.csv,0.62,0.33,0.24,0.22,0.7,0.06,0.65,0.52,0.35,0.43
liferea.csv,0.36,0.04,0.2,0.39,0.41,0.26,0.5,0.77,0.31,0.12
moving-pictures.csv,0.41,0.15,0.23,0.22,0.6,0.2,0.67,0.9,0.93,0.29
opensim4opencog.csv,0.42,0.06,0.22,0.38,0.57,0.25,0.58,0.83,0.6,0.26
plearn.csv,0.46,0.06,0.19,0.46,0.31,0.13,0.41,0.86,0.26,0.16
psrchive.csv,0.43,0.33,0.41,0.21,0.56,0.12,0.54,0.67,0.46,0.25
re2c.csv,0.37,0.86,0.17,0.24,0.58,0.08,0.51,0.73,0.39,0.11
rebecca-aiml.csv,0.4,0.14,0.18,0.27,0.58,0.14,0.51,0.8,0.69,0.29
xfce.csv,0.41,0.07,0.16,0.35,0.52,0.12,0.5,0.8,0.35,0.2
