,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,trinitycore.csv,rockbox.csv
atlc.csv,0.78,0.74,0.28,0.76,0.86,0.92,0.87,0.93,0.62,1.06,0.65,0.78
miranda-icq.csv,0.54,0.56,0.5,0.86,0.69,0.82,0.72,0.96,0.47,0.44,0.59,0.6
pclasses.csv,0.31,0.68,1.0,1.02,0.89,1.0,0.94,0.96,1.0,0.74,0.65,0.77
pfaedit.csv,1.0,0.5,1.0,0.46,0.31,0.94,0.61,0.78,0.98,0.57,0.62,0.7
rockbox.csv,0.76,0.68,1.0,0.38,0.57,0.75,0.59,0.79,0.98,0.66,0.55,0.38
theresa.csv,0.87,0.5,0.72,0.24,0.45,1.0,0.63,0.71,0.72,0.49,0.61,0.63
thrust.csv,1.0,0.87,0.55,1.0,0.74,0.49,0.77,0.64,0.84,0.83,0.76,0.68
tktoolkit.csv,0.82,0.92,0.59,0.79,0.78,0.72,0.69,0.5,0.97,1.01,0.78,0.91
trinitycore.csv,0.45,0.69,0.93,0.54,0.57,0.83,0.78,0.75,0.79,0.49,0.48,0.85
tzod.csv,0.93,0.53,0.38,0.38,0.52,0.79,0.7,0.87,0.63,0.43,0.64,0.74
yaprm.csv,0.67,0.64,1.0,0.42,0.98,0.74,0.47,0.7,0.94,0.41,0.64,0.7
