,0,1,2,3,4,5
doomlegacy.csv,0.37,0.0,0.51,0.0,0.65,0.0
bzbyte.csv,0.0,0.0,0.83,0.0,0.83,0.0
v8.csv,0.42,0.0,0.42,0.0,0.42,0.0
servicestack.csv,0.52,0.0,0.52,0.0,0.0,0.0
carabiner.csv,0.83,0.54,0.71,0.54,0.71,0.54
gephex.csv,0.24,0.47,0.0,0.47,0.24,0.47
mediaportal.csv,0.64,0.0,0.64,0.0,0.64,0.0
gnome-jabber.csv,0.61,0.0,0.61,0.0,0.38,0.0
fityk.csv,0.0,0.0,0.73,0.0,0.73,0.0
ngl.csv,0.57,0.79,0.65,0.79,0.64,0.79
codepurge.csv,0.0,0.0,0.55,0.0,0.99,0.0
bigdata.csv,0.0,0.0,0.0,0.0,0.65,0.0
salasaga.csv,0.85,0.0,0.76,0.0,0.82,0.0
ondex.csv,0.64,0.0,0.64,0.0,0.64,0.0
qdvdauthor.csv,0.79,0.0,0.0,0.0,0.83,0.0
gmerlin.csv,0.45,0.0,0.68,0.0,0.7,0.0
wsmt.csv,0.53,1.0,0.53,1.0,0.29,1.0
jstock.csv,0.0,0.0,0.0,0.0,0.0,0.0
poormans.csv,0.77,0.79,0.77,0.79,0.77,0.79
kolmafia.csv,0.0,0.65,1.0,0.65,0.0,0.65
synergyspace.csv,0.33,0.0,0.33,0.0,0.49,0.0
nebuladevice.csv,0.62,0.0,0.75,0.0,0.94,0.0
findbugs.csv,0.0,0.29,0.0,0.29,0.0,0.29
qmmp.csv,0.52,0.71,0.71,0.71,0.76,0.71
wxstudio.csv,0.0,0.34,0.44,0.34,0.0,0.34
free-evolution.csv,0.36,0.0,0.0,0.0,0.55,0.0
xapian.csv,0.0,0.45,0.45,0.45,0.43,0.45
quark.csv,0.56,0.54,0.0,0.54,0.0,0.54
les-indemodables.csv,0.67,0.97,0.67,0.97,0.92,0.97
mesa3d.csv,0.64,0.0,0.46,0.0,0.52,0.0
simplewebservices.csv,0.36,0.54,0.54,0.54,0.66,0.54
illumination.csv,0.0,0.0,0.55,0.0,0.0,0.0
ambulant.csv,,,,,,
kmess.csv,0.5,0.82,0.4,0.82,0.43,0.82
fleet-simulator.csv,1.0,1.0,1.0,1.0,1.0,1.0
tradelink.csv,,,,,,
opendvr.csv,0.65,0.65,0.38,0.65,0.38,0.65
pi-qmc.csv,0.0,1.0,0.92,1.0,0.0,1.0
google-gears.csv,0.24,0.0,0.65,0.0,0.53,0.0
bibletime.csv,0.72,0.0,0.0,0.0,0.63,0.0
ipfilter.csv,0.68,0.94,0.37,0.94,0.37,0.94
hibernate.csv,0.8,0.16,0.8,0.16,0.8,0.16
keyczar.csv,0.42,0.0,0.42,0.0,0.24,0.0
oscarmcmaster.csv,0.76,0.0,0.52,0.0,0.75,0.0
passwordsafe.csv,0.61,0.6,0.57,0.6,0.46,0.6
primefaces.csv,0.23,0.71,0.83,0.71,0.45,0.71
xtreemfs.csv,0.69,0.72,0.67,0.72,0.3,0.72
pixel-commandos.csv,0.0,0.0,0.8,0.0,0.0,0.0
open-ms.csv,0.76,0.0,0.51,0.0,0.58,0.0
pnotepad.csv,0.0,0.0,0.68,0.0,0.0,0.0
qedo.csv,0.0,0.0,0.8,0.0,0.0,0.0
tigermud.csv,,0.71,,0.71,,0.71
mevenide.csv,0.7,0.72,0.69,0.72,0.64,0.72
xcf.csv,1.0,0.65,0.83,0.65,0.0,0.65
ninject.csv,1.0,0.0,0.0,0.0,0.0,0.0
xinity.csv,0.0,0.71,0.0,0.71,0.83,0.71
xmoto.csv,0.65,0.69,0.46,0.69,0.65,0.69
coot.csv,0.62,0.0,0.68,0.0,0.68,0.0
emite.csv,0.75,0.42,0.28,0.42,0.28,0.42
gss.csv,0.0,0.79,0.0,0.79,0.79,0.79
icescrum.csv,0.0,0.38,0.71,0.38,0.71,0.38
