,google-collections.csv,forester-atv.csv,autofac.csv,neodatis-odb.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,servicestack.csv,rcp-company-uibindings.csv,javaprofiler.csv
autofac.csv,0.63,0.51,0.76,0.44,0.18,0.21,0.39,0.63,0.58,0.71,0.75
azureus.csv,0.84,0.57,0.6,0.51,0.15,0.32,0.67,0.78,0.41,0.96,0.8
forester-atv.csv,0.7,0.77,0.31,0.22,0.23,0.25,0.41,0.78,0.52,0.63,0.29
gabel.csv,0.02,0.46,0.54,0.33,0.36,0.33,0.32,0.69,0.0,0.41,0.23
google-collections.csv,0.9,0.55,0.64,0.51,0.15,0.32,0.43,0.83,0.42,0.98,0.81
javaprofiler.csv,0.68,0.57,0.6,0.49,0.17,0.28,0.4,0.82,0.57,0.97,0.85
mycila.csv,0.94,0.36,0.61,0.32,0.16,0.64,0.45,0.68,0.25,0.89,0.72
neodatis-odb.csv,0.89,0.5,0.55,0.6,0.1,0.42,0.43,0.29,0.09,0.89,0.44
pokenetonline.csv,0.58,0.56,0.62,0.53,0.14,0.3,0.42,0.84,0.53,0.9,0.61
rcp-company-uibindings.csv,0.8,0.56,0.52,0.36,0.14,0.22,0.44,0.32,0.36,0.93,0.36
servicestack.csv,0.1,0.58,0.33,0.25,0.0,0.12,0.19,0.36,0.65,0.17,0.03
