,umber.csv,openwbem.csv,wpdev.csv,orc.csv,mvdsv.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,iaml.csv,gwanted.csv,cubefs.csv,java-gnome.csv,elynx.csv,tycho.csv,mecat.csv,codesmith.csv,ta3d.csv
codesmith.csv,0.81,0.87,0.5,0.83,0.95,0.73,0.61,0.81,0.7,0.76,0.86,0.61,1.07,1.01,0.45,0.28,0.86
cubefs.csv,0.17,0.64,0.7,0.86,1.0,0.57,0.85,0.57,0.8,0.62,0.49,0.77,0.51,0.58,1.04,0.64,1.0
gwanted.csv,0.52,0.56,0.63,0.51,0.35,0.81,0.83,0.77,0.76,0.37,0.74,0.88,1.02,1.0,0.8,1.0,0.74
iaml.csv,0.85,0.84,0.7,0.83,0.71,0.82,0.87,0.9,0.49,0.66,0.9,1.0,0.36,0.74,1.02,0.88,0.89
java-gnome.csv,0.46,0.78,0.7,0.7,0.56,0.93,0.9,0.93,0.85,0.86,0.94,0.28,1.05,0.77,0.71,0.77,0.75
mecat.csv,0.42,0.76,0.64,0.51,0.41,0.98,0.98,0.92,0.99,0.72,1.0,0.95,1.02,1.0,0.12,1.0,0.77
mvdsv.csv,0.42,0.97,0.98,0.75,0.05,0.98,0.76,0.89,0.95,0.95,0.92,0.79,1.0,1.0,0.41,0.98,0.89
openwbem.csv,0.71,0.5,0.3,0.67,0.51,0.66,0.83,0.86,0.82,0.49,0.75,0.78,0.39,0.49,0.72,0.77,0.51
orc.csv,0.95,0.67,0.55,0.25,0.68,0.96,0.67,0.81,0.87,0.72,0.77,0.97,1.02,1.0,0.4,0.83,0.75
plato.csv,0.89,1.0,1.0,0.98,1.0,0.92,0.28,0.87,0.7,0.63,0.87,0.76,1.0,1.0,0.8,0.89,1.0
rodin-b-sharp.csv,0.47,0.98,1.13,0.51,0.78,0.82,0.79,0.21,0.89,0.81,0.78,0.45,1.15,1.0,0.98,0.92,0.85
ta3d.csv,0.48,0.93,0.91,1.0,1.0,0.81,0.89,0.83,0.58,0.81,0.63,0.51,1.0,1.0,0.66,0.96,0.51
tycho.csv,0.98,0.64,0.63,0.58,0.7,0.63,0.54,0.86,0.69,0.5,0.88,0.66,0.39,0.33,0.61,0.71,0.65
umber.csv,0.15,0.74,1.01,0.99,0.94,0.87,1.0,0.92,0.84,0.91,0.94,0.94,0.92,0.85,1.0,1.0,0.89
vienna-add-in.csv,0.67,0.85,1.06,0.86,1.05,0.5,0.74,0.91,0.72,0.69,0.66,0.88,0.51,0.57,0.82,0.88,0.86
wpdev.csv,0.98,0.99,0.0,0.98,0.94,0.98,1.0,1.0,0.94,0.95,1.0,1.0,0.8,0.96,0.92,0.9,0.94
