,xharbour.csv,barracudamvc.csv,megasquirtavr.csv,openintents.csv,atomsite.csv,arsenal-1.csv,hazelcast.csv,alembik.csv,opengs.csv,fm-classic.csv,mycila.csv,bulmages.csv,jppf-project.csv,mumble.csv,bionote.csv,mevenide.csv,duplicati.csv,tweetsharp.csv
alembik.csv,0.21,0.0,0.01,0.15,0.26,0.0,0.1,0.29,0.1,0.03,0.14,0.0,0.12,0.05,0.12,0.0,0.0,0.2
arsenal-1.csv,0.89,1.0,0.23,0.48,0.17,0.39,0.0,0.1,0.0,0.99,0.21,0.3,1.0,0.22,0.1,0.76,0.0,0.2
atomsite.csv,0.42,0.95,1.0,0.88,0.33,1.0,0.3,0.77,0.94,0.93,0.98,0.48,0.88,0.55,0.65,0.98,1.0,0.53
barracudamvc.csv,0.95,0.3,0.77,0.79,1.0,1.0,1.0,1.0,1.0,0.76,0.93,0.98,0.88,0.98,0.98,0.9,1.0,0.93
bionote.csv,0.42,0.85,0.1,0.7,0.17,0.45,0.0,0.26,0.01,0.79,0.17,0.36,0.75,0.31,0.23,0.59,0.0,0.33
bulmages.csv,0.0,0.4,1.0,0.03,0.13,0.0,0.0,0.03,0.0,0.24,0.1,0.35,0.12,0.48,0.02,0.49,0.0,0.27
fm-classic.csv,0.0,0.15,0.26,0.39,0.07,0.1,0.1,0.06,0.01,0.09,0.14,0.1,0.0,0.06,0.12,0.07,0.0,0.2
hazelcast.csv,0.37,1.0,0.16,0.91,0.63,0.48,0.0,0.77,0.66,0.9,0.74,0.49,0.62,0.42,0.65,0.68,0.0,0.73
jppf-project.csv,0.79,0.75,0.79,0.82,0.3,0.97,0.5,0.58,0.42,0.34,0.69,0.65,0.12,0.62,0.52,0.52,0.0,0.6
megasquirtavr.csv,1.0,0.65,0.14,1.0,0.63,1.0,1.0,0.71,0.96,0.6,0.93,0.68,0.62,0.71,0.79,0.7,1.0,0.33
mevenide.csv,0.11,0.8,0.19,0.45,0.07,0.19,0.0,0.03,0.0,0.6,0.07,0.02,0.25,0.05,0.08,0.2,0.0,0.13
mumble.csv,0.32,0.25,0.04,0.88,0.48,0.71,0.6,0.16,0.61,0.47,0.17,0.54,0.12,0.18,0.4,0.4,0.0,0.4
mycila.csv,1.0,0.8,0.03,0.52,0.89,0.97,0.3,0.45,0.57,0.85,0.24,0.98,0.62,0.63,0.75,0.66,1.0,0.73
opengs.csv,0.37,0.45,0.12,0.18,0.43,0.32,0.9,0.32,0.27,0.44,0.21,0.42,0.12,0.37,0.5,0.23,1.0,0.33
openintents.csv,0.74,0.35,0.01,0.33,0.93,1.0,0.2,0.71,0.71,0.68,0.45,0.5,1.0,0.78,0.87,0.18,1.0,0.93
tweetsharp.csv,0.0,0.15,0.96,0.36,0.59,0.81,1.0,0.84,0.99,0.1,0.79,0.36,0.5,0.45,0.48,0.42,1.0,0.33
xharbour.csv,0.05,1.0,0.63,0.76,0.54,1.0,0.2,0.65,0.99,0.74,0.83,0.61,0.62,0.75,0.46,0.77,1.0,0.67
