,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv,codesmith.csv
codesmith.csv,0.25,0.0,0.5,0.56,0.34,0.34,0.5,0.52,0.61,0.0,0.46,0.82
gwanted.csv,0.65,0.52,0.77,0.59,0.31,0.62,0.43,0.72,0.13,0.0,0.65,0.02
ivatamasks.csv,0.33,0.74,0.37,0.71,0.09,0.44,0.35,0.68,0.51,0.0,0.42,0.69
java-gnome.csv,0.76,0.0,0.36,0.19,0.52,0.23,0.3,0.38,0.82,0.34,0.44,0.48
orc.csv,0.06,0.56,0.81,0.71,0.1,0.54,0.34,0.5,0.13,0.0,0.47,0.07
plato.csv,0.48,0.83,0.33,0.65,0.2,0.81,0.44,0.65,0.15,0.0,0.17,0.55
rodin-b-sharp.csv,0.58,0.0,0.55,0.31,0.15,0.59,0.83,0.4,0.78,0.0,0.32,0.45
tycho.csv,0.13,0.5,0.43,0.47,0.35,0.3,0.27,0.41,0.42,0.72,0.46,0.15
umber.csv,0.86,0.0,0.38,0.68,0.49,0.0,0.67,0.39,0.24,0.07,0.43,0.13
unicase.csv,0.86,0.0,0.38,0.36,0.41,0.62,0.59,0.67,0.61,0.49,0.72,0.0
vienna-add-in.csv,0.66,0.0,0.49,0.45,0.69,0.38,0.41,0.55,0.28,0.66,0.34,0.4
wpdev.csv,0.09,1.0,0.09,0.0,0.09,0.0,0.0,0.26,0.0,0.17,0.05,0.38
