,arianne.csv,qgis.csv,bl-toolkit.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,mbse.csv,vars-redux.csv,clamav.csv,gnupdate.csv,alsa.csv,yafdotnet.csv,ns-3-dev-def-routing.csv,xapian.csv,les-indemodables.csv
alsa.csv,0.53,0.68,0.62,0.79,0.65,0.43,0.0,0.64,0.61,0.57,0.8,0.64,0.67,0.7,0.58,0.67
arcallians.csv,0.54,0.65,0.73,0.81,0.72,0.0,0.13,0.57,0.59,0.57,0.4,0.28,0.63,0.66,0.66,0.57
arianne.csv,0.71,0.3,0.0,0.42,0.0,0.72,0.2,0.0,0.61,0.24,0.0,0.0,0.13,0.24,0.63,0.21
aztec.csv,0.24,0.56,0.21,0.43,0.68,0.73,0.47,0.63,0.39,0.48,0.63,0.43,0.23,0.48,0.05,0.35
bl-toolkit.csv,0.52,0.23,0.71,0.44,0.0,0.34,0.41,0.0,0.57,0.0,0.0,0.05,0.09,0.52,0.0,0.0
clamav.csv,0.55,0.61,0.32,0.52,0.54,0.4,0.57,0.61,0.6,0.72,0.59,0.61,0.61,0.59,0.6,0.61
gnupdate.csv,0.51,0.51,0.19,0.7,0.6,0.17,0.29,0.24,0.56,0.49,0.85,0.54,0.6,0.5,0.26,0.57
les-indemodables.csv,0.46,0.54,0.42,0.54,0.55,0.55,0.34,0.09,0.58,0.67,0.52,0.62,0.49,0.57,0.59,0.71
mbse.csv,0.43,0.54,0.15,0.28,0.49,0.32,0.67,0.66,0.63,0.54,0.5,0.64,0.64,0.55,0.51,0.36
ns-3-dev-def-routing.csv,0.58,0.58,0.69,0.68,0.69,0.61,0.33,0.05,0.66,0.34,0.67,0.59,0.56,0.66,0.47,0.63
openxava.csv,0.39,0.48,0.12,0.07,0.27,0.42,0.77,0.17,0.61,0.66,0.28,0.51,0.4,0.33,0.34,0.55
phonon-vlc-mplayer.csv,0.36,0.57,0.57,0.77,0.61,0.25,0.41,0.6,0.69,0.35,0.78,0.47,0.69,0.62,0.31,0.59
qgis.csv,0.44,0.62,0.27,0.8,0.46,0.05,0.28,0.0,0.64,0.18,0.0,0.0,0.52,0.6,0.65,0.66
vars-redux.csv,0.58,0.68,0.0,0.75,0.59,0.05,0.3,0.24,0.7,0.69,0.51,0.44,0.52,0.67,0.67,0.52
xapian.csv,0.71,0.48,0.21,0.81,0.36,0.09,0.28,0.0,0.17,0.58,0.64,0.56,0.63,0.21,0.71,0.42
yafdotnet.csv,0.68,0.65,0.34,0.35,0.59,0.47,0.66,0.66,0.42,0.18,0.35,0.41,0.72,0.58,0.53,0.48
