,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,opensim4opencog.csv,java-gnome.csv,miranda-icq.csv,t-2.csv,boost.csv,ofbiz.csv,xcf.csv
adaptagrams.csv,0.79,0.81,0.48,0.35,0.27,0.5,0.44,0.09,0.34,0.35,0.21
badtrinitycore.csv,0.0,0.0,0.34,0.5,0.04,0.0,0.05,0.22,0.16,0.16,0.34
boost.csv,0.68,0.8,0.37,0.22,0.27,0.1,0.27,0.26,0.63,0.52,0.55
electric-core.csv,0.73,0.82,0.5,0.28,0.27,0.55,0.41,0.25,0.51,0.72,0.62
java-gnome.csv,0.43,0.41,0.2,0.22,0.21,0.87,0.28,0.17,0.54,0.53,0.5
miranda-icq.csv,0.71,0.86,0.45,0.19,0.18,0.06,0.49,0.33,0.41,0.65,0.39
ofbiz.csv,0.59,0.83,0.29,0.21,0.2,0.37,0.39,0.24,0.55,0.77,0.61
olsrd.csv,0.76,0.84,0.45,0.28,0.3,0.37,0.42,0.25,0.44,0.7,0.41
opensim4opencog.csv,0.72,0.82,0.43,0.3,0.33,0.78,0.41,0.19,0.48,0.69,0.49
t-2.csv,0.5,0.6,0.29,0.22,0.17,0.12,0.34,0.43,0.36,0.65,0.64
xcf.csv,0.7,0.81,0.44,0.31,0.16,0.39,0.44,0.23,0.51,0.57,0.76
