,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,scenemonitor.csv,avisynth2.csv,gephex.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv
adonthell.csv,0.76,0.77,0.84,0.24,0.36,0.05,0.63,0.46,0.11,0.25,0.4
avisynth2.csv,0.91,0.0,1.0,0.5,0.67,0.5,0.0,0.0,0.0,0.0,0.0
coot.csv,0.0,0.48,0.67,0.3,0.36,0.0,0.61,0.62,0.03,0.76,0.45
dsworkbench.csv,0.93,1.0,0.83,0.5,0.5,0.0,1.0,0.28,0.3,0.33,0.3
freelords.csv,0.84,0.54,0.8,0.71,0.4,0.06,0.65,0.63,0.06,0.66,0.39
gephex.csv,0.76,0.55,0.82,0.33,0.41,0.0,0.79,0.48,0.03,0.51,0.38
jas.csv,0.75,0.59,0.73,0.5,0.29,0.18,0.59,0.63,0.35,0.43,0.25
jpaul.csv,0.77,0.8,0.78,0.56,0.41,0.0,0.56,0.43,0.12,0.38,0.22
ngl.csv,0.78,0.52,0.75,0.33,0.42,0.12,0.61,0.69,0.08,0.62,0.38
scenemonitor.csv,0.8,0.64,0.91,0.5,0.75,0.0,0.63,0.63,0.03,0.35,0.33
synecdoche.csv,0.77,0.61,0.79,0.42,0.38,0.0,0.67,0.54,0.03,0.72,0.7
