,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,multitude.csv
amateur-scrolls.csv,0.79,0.05,0.58,0.14,0.2,0.21,0.12,0.28,0.28,0.1
fritzing.csv,0.36,0.17,0.31,0.25,0.2,0.38,0.0,0.2,0.38,0.2
jlinalg.csv,0.07,0.1,0.74,0.73,0.2,0.38,0.52,0.85,0.31,0.25
knowledge.csv,0.14,0.55,0.57,0.8,0.0,0.58,0.21,0.65,0.34,0.69
massiv.csv,0.0,0.07,0.17,0.0,0.0,0.03,0.0,0.24,0.0,0.0
multitude.csv,0.86,0.42,0.69,0.73,0.6,0.59,0.6,0.7,0.78,0.27
playerstage.csv,0.07,0.49,0.6,0.17,0.2,0.28,0.06,0.33,0.31,0.27
quarkplusplus.csv,0.29,0.57,0.56,0.28,0.0,0.18,0.02,0.52,0.25,0.2
rtrt-on-gpu.csv,0.71,0.38,0.27,0.51,0.8,0.36,0.15,0.41,0.66,0.44
superwaba.csv,0.21,0.18,0.48,0.29,0.2,0.56,0.35,0.74,0.22,0.42
