,recall,precision,pf,wins
all-plasm.csv,0.4,0.42000000000000004,0.25,10
archive-crawler.csv,0.545,0.45999999999999996,0.22,15
customwars.csv,0.495,0.505,0.28500000000000003,14
gbif-providertoolkit.csv,0.41500000000000004,0.36,0.32,6
gss.csv,0.71,0.5,0.41000000000000003,12
heekscad.csv,0.66,0.435,0.42,9
ikvm.csv,0.645,0.33499999999999996,0.75,0
jaxen.csv,0.76,0.37,0.765,2
jcae.csv,0.33,0.54,0.17,16
levent.csv,0.855,0.43,0.64,4
nicepress.csv,0.655,0.395,0.51,5
pnotepad.csv,0.785,0.39,0.615,3
qcad2.csv,0.5700000000000001,0.475,0.32,13
qedo.csv,0.195,0.2,0.41000000000000003,1
quarkplusplus.csv,0.585,0.44,0.395,8
sigil.csv,0.545,0.53,0.23,17
xcsoar.csv,0.63,0.46499999999999997,0.345,11
xuggle.csv,0.67,0.41500000000000004,0.45,7
