,nh3d.csv,jvcl.csv,opentibia.csv,jmri.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,magicwars.csv,bochs.csv,haphazard.csv,ipfire-wall.csv,m-a-d-n-e-s-s.csv,all-plasm.csv,galaxium.csv,smartgwt.csv,tweetsharp.csv,gisgraphy.csv
all-plasm.csv,0.97,0.74,0.86,0.71,0.67,0.68,0.74,0.49,0.79,0.92,0.59,0.93,0.74,0.94,0.98,0.55,0.83
blogentis.csv,0.9,0.57,0.7,0.62,0.47,0.95,0.47,0.97,0.64,0.32,0.55,0.8,0.34,0.61,0.94,0.51,0.37
bochs.csv,0.51,0.33,0.45,0.52,0.41,0.48,0.46,0.37,0.64,0.53,0.36,0.42,0.42,0.43,0.57,0.38,0.59
galaxium.csv,0.42,0.37,0.38,0.43,0.42,0.95,0.56,0.98,0.47,0.33,0.39,0.41,0.3,0.49,0.61,0.42,0.5
gisgraphy.csv,0.97,0.49,0.41,0.53,0.44,0.49,0.57,0.35,0.81,0.8,0.4,0.63,0.91,0.52,0.99,0.39,0.71
haphazard.csv,0.53,0.33,0.71,0.56,0.48,0.7,0.89,0.99,0.69,0.52,0.89,0.47,0.38,0.6,0.95,0.76,0.5
ipfire-wall.csv,0.44,0.83,0.48,0.63,0.73,0.84,0.39,0.98,0.63,0.36,0.42,0.5,0.48,0.79,0.38,0.45,0.38
jmri.csv,0.64,0.33,0.54,0.56,0.73,0.49,0.38,0.42,0.74,0.55,0.37,0.59,0.52,0.69,0.78,0.45,0.43
jvcl.csv,0.75,0.74,0.69,0.98,0.8,0.94,0.54,0.98,0.9,0.62,0.62,0.85,0.62,0.0,0.71,0.8,0.81
kaffeine.csv,0.34,0.3,0.4,0.38,0.36,0.45,0.34,0.36,0.38,0.33,0.36,0.35,0.27,0.36,0.42,0.35,0.31
m-a-d-n-e-s-s.csv,0.5,0.4,0.57,0.75,0.86,0.79,0.49,0.97,0.91,0.45,0.54,0.54,0.45,0.94,0.52,0.82,0.92
magicwars.csv,0.51,0.31,0.44,0.39,0.4,0.41,0.38,0.72,0.56,0.35,0.36,0.39,0.31,0.36,0.28,0.39,0.29
nh3d.csv,0.83,0.0,0.46,0.87,0.4,0.41,0.38,0.35,0.64,0.35,0.36,0.39,0.31,0.36,0.56,0.39,0.31
opentibia.csv,0.45,0.81,0.45,0.63,0.5,0.48,0.82,0.56,0.99,0.9,0.4,0.85,0.57,0.53,0.97,0.47,0.67
sarasvati.csv,0.6,0.58,0.53,0.58,0.8,0.65,0.59,0.66,0.96,0.48,0.57,0.93,0.48,0.41,0.38,0.89,0.39
smartgwt.csv,0.95,0.95,0.41,0.65,0.43,0.83,0.7,0.46,0.45,0.68,0.38,0.48,0.5,0.62,0.4,0.34,0.34
tweetsharp.csv,0.5,0.9,0.66,0.57,0.89,0.49,0.69,0.37,0.95,0.91,0.58,0.79,0.82,0.6,0.97,0.51,0.59
