,barracudamvc.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,mycila.csv,jppf-project.csv,cascading.csv,ontopia.csv,mevenide.csv
alembik.csv,0.44,0.67,0.4,0.79,0.67,0.69,0.6,0.48,0.62,0.67,0.88
arsenal-1.csv,0.37,0.45,0.5,0.8,0.0,0.99,0.89,0.48,0.88,0.88,0.84
barracudamvc.csv,0.41,0.36,0.33,0.31,0.39,0.43,0.41,0.37,0.43,0.37,0.61
cascading.csv,0.52,0.34,0.46,0.31,0.46,0.59,0.47,0.56,0.42,0.44,0.45
emisview.csv,0.9,0.91,0.38,0.48,0.86,0.79,0.62,0.51,0.88,0.83,0.92
jitterbit.csv,0.36,0.36,0.36,0.38,0.63,0.59,0.41,0.53,0.56,0.47,0.5
jppf-project.csv,0.59,0.35,0.57,0.5,0.51,0.45,0.48,0.41,0.56,0.74,0.62
mevenide.csv,0.35,0.53,0.83,0.67,0.0,0.75,0.83,0.53,0.83,0.82,0.71
mycila.csv,0.36,0.36,0.8,0.31,0.51,0.59,0.73,0.4,0.45,0.38,0.59
ontopia.csv,0.8,0.53,0.42,0.39,0.43,0.56,0.4,0.43,0.95,0.42,0.8
trackit.csv,0.92,0.8,0.71,0.63,0.49,0.99,0.65,0.9,0.67,0.95,0.5
