,lazarus-ccr.csv,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,migen.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,mvnforum.csv,jasperreports.csv,bwapi.csv,irplus.csv,nebuladevice.csv,javaprofiler.csv,exl.csv
bwapi.csv,0.54,0.62,0.12,0.12,0.1,0.55,0.47,0.39,0.29,0.07,0.37,0.14,0.29,0.05,0.93,0.38,0.18,0.68,0.76
co-ode-owl-plugins.csv,0.51,0.59,0.23,0.2,0.14,0.63,0.49,0.48,0.71,0.57,0.49,0.11,0.33,0.05,0.76,0.44,0.14,0.82,0.78
exl.csv,0.48,0.56,0.07,0.19,0.17,0.58,0.45,0.35,0.31,0.11,0.48,0.12,0.2,0.09,0.96,0.36,0.21,0.74,0.97
firebreath.csv,0.44,0.88,0.29,0.28,0.26,0.63,0.54,0.55,0.64,0.18,0.42,0.15,0.27,0.08,0.69,0.4,0.26,0.7,0.91
irplus.csv,0.36,0.89,0.08,0.24,0.4,0.68,0.5,0.49,0.37,0.11,0.43,0.22,0.26,0.13,0.6,0.47,0.24,0.87,1.0
jasperreports.csv,0.41,0.59,0.12,0.12,0.09,0.48,0.51,0.39,0.28,0.06,0.2,0.16,0.23,0.3,0.94,0.31,0.2,0.89,0.79
javaprofiler.csv,0.5,0.75,0.23,0.15,0.15,0.65,0.51,0.4,0.32,0.32,0.51,0.1,0.33,0.12,0.81,0.49,0.19,0.91,0.84
konversation.csv,0.5,0.83,0.22,0.32,0.27,0.82,0.53,0.52,0.25,0.31,0.35,0.11,0.44,0.12,0.79,0.46,0.18,0.66,0.85
lazarus-ccr.csv,0.77,0.62,0.17,0.05,0.1,0.51,0.45,0.37,0.26,0.31,0.29,0.14,0.36,0.03,0.8,0.32,0.11,0.58,0.68
linuxsh.csv,0.41,0.73,0.29,0.09,0.24,0.62,0.5,0.37,0.0,0.5,0.46,0.09,0.08,0.0,0.72,0.6,0.2,0.79,0.87
migen.csv,0.33,0.82,0.19,0.23,0.23,0.78,0.63,0.49,0.0,0.28,0.49,0.12,0.08,0.18,0.88,0.43,0.2,0.87,0.86
moviesandbox.csv,0.4,0.68,0.27,0.2,0.15,0.71,0.57,0.51,0.29,0.28,0.47,0.13,0.28,0.06,0.62,0.5,0.13,0.67,0.85
mvnforum.csv,0.0,0.54,0.17,0.1,0.08,0.46,0.46,0.45,0.18,0.24,0.51,0.11,0.42,0.0,0.74,0.2,0.04,0.58,0.64
nebuladevice.csv,0.41,0.47,0.0,0.06,0.08,0.49,0.39,0.34,0.28,0.26,0.25,0.1,0.1,0.06,0.8,0.2,0.38,0.69,0.8
ontomorphtab.csv,0.32,0.86,0.17,0.13,0.15,0.6,0.52,0.41,0.29,0.08,0.47,0.16,0.3,0.14,0.81,0.37,0.18,0.76,0.8
opengs.csv,1.0,0.89,0.19,0.32,0.23,0.65,0.46,0.43,0.6,1.0,0.65,0.14,0.29,0.06,0.83,0.41,0.18,0.77,0.92
scite-ru.csv,0.47,0.64,0.22,0.15,0.15,0.57,0.47,0.41,0.37,0.17,0.5,0.11,0.29,0.05,0.77,0.43,0.13,0.68,0.79
tokratan.csv,0.64,0.82,0.17,0.26,0.28,0.65,0.62,0.5,1.0,0.29,0.89,0.26,0.3,0.08,1.0,0.58,0.19,0.7,0.96
xuggle.csv,0.52,0.71,0.17,0.28,0.29,0.59,0.53,0.44,0.43,0.13,0.56,0.21,0.34,0.05,0.77,0.45,0.17,0.68,0.84
