,ns-3.csv,grafx2.csv,sylpheed-claws.csv,minig.csv,omseek.csv,megameknet.csv,kmess.csv,google-gears.csv,ftm.csv,xamj.csv,quickfast.csv
ftm.csv,0.86,0.4,0.59,0.9,0.61,0.64,0.46,0.6,0.46,0.5,0.75
google-gears.csv,0.54,0.51,0.43,0.45,0.5,0.5,0.38,0.47,0.55,0.73,0.44
grafx2.csv,0.67,0.33,0.56,0.95,0.46,0.53,0.36,0.5,0.48,0.79,0.65
kmess.csv,0.93,0.75,0.51,0.67,0.65,0.93,0.43,0.89,0.61,0.91,0.92
megameknet.csv,0.51,0.51,0.47,0.56,0.48,0.5,0.43,0.5,0.56,0.53,0.45
minig.csv,0.4,0.58,0.83,0.46,0.44,0.44,0.43,0.47,0.94,0.44,0.92
ns-3.csv,0.43,0.58,0.33,0.73,0.92,0.48,0.4,0.56,0.94,0.57,0.41
omseek.csv,0.79,0.67,0.95,0.72,0.6,0.76,0.61,0.88,0.62,0.68,0.83
quickfast.csv,0.43,0.53,0.34,0.39,0.45,0.48,0.4,0.47,0.72,0.42,0.37
sylpheed-claws.csv,0.4,0.53,0.43,0.36,0.43,0.47,0.41,0.46,0.42,0.37,0.38
xamj.csv,0.44,0.54,0.39,0.63,0.44,0.48,0.39,0.43,0.61,0.5,0.38
