,bacula.csv,fltk.csv,pfaedit.csv,patterntesting.csv,gzigzag.csv,enlightenment.csv,blue-c.csv,aufs.csv,sylpheed-claws.csv,ogrehg.csv,genecys.csv,freewrl.csv,roller.csv,pgui.csv,jparsec.csv,xbg.csv,lportal.csv,genoviz.csv
aufs.csv,0.97,0.57,0.66,0.86,0.89,0.68,0.61,0.52,0.71,0.63,0.9,0.84,0.84,0.94,0.92,0.89,1.02,0.92
bacula.csv,0.51,0.58,0.48,0.79,0.68,0.62,0.34,0.63,0.63,0.5,0.38,1.0,0.93,0.54,0.91,0.73,0.98,0.91
blue-c.csv,0.59,0.73,0.55,0.63,0.68,0.81,0.26,0.71,0.72,0.56,0.79,0.64,0.81,0.58,0.99,0.63,0.85,0.47
enlightenment.csv,0.55,0.99,1.0,1.0,0.99,0.51,0.96,1.0,0.62,1.0,1.0,0.92,1.0,0.45,0.99,1.0,1.0,1.0
fltk.csv,0.56,0.41,0.51,0.68,0.7,0.61,0.31,0.67,0.62,0.47,0.36,0.81,0.95,0.48,0.91,0.72,0.89,0.6
freewrl.csv,0.75,0.7,0.47,0.97,0.66,0.72,0.48,0.91,0.73,0.54,0.54,0.45,0.67,0.82,0.69,0.85,0.61,0.42
genecys.csv,1.0,0.92,0.85,0.97,0.7,0.77,1.0,0.85,0.98,0.84,0.44,0.69,0.99,0.95,0.92,0.98,0.95,0.72
genoviz.csv,0.68,0.9,0.74,0.97,0.63,0.95,0.97,0.87,0.91,0.86,0.73,0.96,0.71,0.67,0.96,0.66,0.78,0.04
gzigzag.csv,0.64,0.68,0.59,0.43,0.59,0.79,0.73,0.58,0.52,0.71,0.7,0.69,0.46,0.51,0.67,0.63,0.64,0.72
jparsec.csv,1.0,0.66,0.79,0.48,0.63,1.0,1.04,0.98,1.0,0.87,0.84,1.0,0.71,1.0,0.39,0.66,0.47,0.87
lportal.csv,0.61,0.92,0.96,0.97,0.79,0.7,1.0,0.86,0.72,0.86,0.98,1.0,0.54,0.64,0.98,0.88,0.33,0.8
ogrehg.csv,0.53,0.51,0.47,0.52,0.6,0.63,0.47,0.69,0.54,0.42,0.39,0.61,0.74,0.49,0.95,0.58,0.69,0.71
patterntesting.csv,0.74,0.77,0.8,0.36,0.9,0.86,0.6,0.94,0.93,0.71,0.89,0.96,0.92,0.64,0.99,0.94,0.81,0.73
pfaedit.csv,0.98,0.62,0.32,0.46,0.7,0.79,0.44,0.59,0.84,0.52,0.4,0.72,0.75,0.98,0.77,0.68,0.61,0.44
pgui.csv,0.74,0.99,1.0,0.64,0.83,1.0,0.88,0.83,1.0,1.0,1.0,1.0,0.71,0.47,0.9,0.93,1.0,0.98
roller.csv,0.68,0.9,0.69,0.4,0.75,0.69,0.44,0.94,0.89,0.79,1.0,0.55,0.38,0.47,0.74,0.7,0.63,0.84
sylpheed-claws.csv,0.59,0.88,1.0,0.52,0.77,0.73,1.0,1.0,0.4,0.99,1.0,0.56,0.86,0.51,0.69,0.96,0.77,0.93
xbg.csv,0.87,0.91,0.92,0.76,0.84,0.76,0.87,0.91,0.87,0.84,0.71,1.0,0.84,0.83,0.98,0.28,0.96,0.81
