,nova.csv,crisscross.csv,mb-unit.csv,libopenmetaverse.csv,betoffice.csv,ldview.csv,mvdsv.csv,jitterbit.csv,tolven.csv,gwanted.csv,codepurge.csv,olex2.csv,elvishrayrenderer.csv
betoffice.csv,0.28,0.24,0.89,0.66,0.59,0.56,0.16,0.2,0.45,0.21,0.22,0.43,0.72
codepurge.csv,0.0,0.34,0.38,0.61,0.12,0.47,0.26,0.31,0.52,0.24,0.44,0.41,0.75
crisscross.csv,0.37,0.4,0.83,0.67,0.62,0.57,0.16,0.42,0.46,0.21,0.34,0.63,0.79
elvishrayrenderer.csv,0.0,0.18,0.49,0.6,0.12,0.29,0.16,0.27,0.55,0.15,0.09,0.38,0.79
gwanted.csv,0.13,0.42,0.59,0.2,0.17,0.47,0.5,0.5,0.41,0.51,0.31,0.55,0.49
jitterbit.csv,0.0,0.24,0.76,0.52,0.16,0.45,0.15,0.62,0.45,0.35,0.18,0.59,0.69
ldview.csv,0.38,0.27,0.65,0.65,0.58,0.65,0.16,0.36,0.43,0.24,0.15,0.21,0.75
libopenmetaverse.csv,0.37,0.27,0.92,0.65,0.67,0.54,0.22,0.42,0.44,0.29,0.26,0.64,0.68
mb-unit.csv,0.27,0.29,0.79,0.6,0.38,0.23,0.17,0.39,0.5,0.29,0.18,0.59,0.78
mvdsv.csv,0.2,0.0,0.13,0.26,0.24,0.43,0.86,0.23,0.05,0.11,0.0,0.15,0.16
nova.csv,0.67,0.3,0.64,0.56,0.66,0.4,0.0,0.34,0.4,0.27,0.23,0.55,0.63
olex2.csv,0.33,0.32,0.75,0.47,0.35,0.0,0.28,0.41,0.57,0.43,0.18,0.72,0.51
tolven.csv,0.39,0.21,0.51,0.47,0.12,0.4,0.32,0.39,0.65,0.29,0.24,0.62,0.63
