,xharbour.csv,jgameai.csv,megasquirtavr.csv,emisview.csv,bullet.csv,mptvseries.csv,tktoolkit.csv,bulmages.csv,cubefs.csv,java-gnome.csv,bwapi.csv,mp-rechnungs-und-kundenverwaltung.csv,bionote.csv,adobe-source.csv,somap.csv,duplicati.csv,buddata-ebxml-registry.csv,oorexx.csv
adobe-source.csv,0.92,0.29,0.28,0.28,0.71,0.69,0.0,0.16,0.75,0.35,0.41,0.4,0.18,0.56,0.84,0.88,0.7,0.54
bionote.csv,0.85,0.06,0.39,0.0,0.42,0.44,0.11,0.37,0.1,0.1,0.15,0.5,0.67,0.37,0.45,0.24,0.38,0.68
buddata-ebxml-registry.csv,0.9,0.44,0.38,0.46,0.86,0.56,0.23,0.32,0.81,0.86,0.88,0.49,0.29,0.3,0.94,0.99,0.96,0.74
bullet.csv,0.68,0.39,0.35,0.3,0.79,0.52,0.24,0.26,0.64,0.88,0.8,0.44,0.15,0.29,0.74,0.53,0.52,0.68
bulmages.csv,0.62,0.07,0.34,0.24,0.62,0.31,0.2,0.39,0.03,0.59,0.16,0.52,0.14,0.38,0.34,0.37,0.24,0.69
bwapi.csv,0.9,0.49,0.39,0.43,0.86,0.55,0.23,0.36,0.76,0.9,0.85,0.48,0.24,0.32,0.95,0.99,0.8,0.74
cubefs.csv,0.9,0.44,0.18,0.41,0.55,0.29,0.23,0.06,0.78,0.81,0.2,0.42,0.23,0.24,0.74,0.45,0.79,0.09
emisview.csv,0.0,0.06,0.36,0.57,0.03,0.21,0.0,0.0,0.24,0.0,0.02,0.31,0.31,0.0,0.24,0.22,0.45,0.05
java-gnome.csv,0.15,0.31,0.25,0.36,0.43,0.32,0.26,0.18,0.16,0.88,0.16,0.33,0.37,0.32,0.49,0.41,0.32,0.42
jgameai.csv,0.0,0.5,0.09,0.26,0.18,0.21,0.19,0.18,0.17,0.07,0.5,0.14,0.1,0.11,0.18,0.32,0.19,0.05
megasquirtavr.csv,0.9,0.44,0.5,0.37,0.69,0.4,0.18,0.38,0.82,0.88,0.43,0.38,0.15,0.17,0.84,0.58,0.83,0.0
mp-rechnungs-und-kundenverwaltung.csv,0.73,0.17,0.29,0.21,0.57,0.09,0.22,0.38,0.56,0.76,0.13,0.59,0.44,0.35,0.51,0.53,0.32,0.6
mptvseries.csv,0.68,0.17,0.36,0.29,0.42,0.67,0.27,0.32,0.31,0.07,0.25,0.42,0.32,0.37,0.08,0.64,0.32,0.41
oorexx.csv,0.48,0.2,0.3,0.47,0.71,0.37,0.21,0.34,0.22,0.33,0.59,0.37,0.23,0.34,0.32,0.6,0.52,0.74
somap.csv,0.72,0.42,0.34,0.51,0.85,0.26,0.22,0.36,0.69,0.86,0.86,0.48,0.22,0.29,0.91,0.83,0.88,0.74
tktoolkit.csv,0.2,0.25,0.37,0.42,0.79,0.54,0.45,0.21,0.8,0.83,0.55,0.44,0.24,0.35,0.6,0.55,0.59,0.69
xharbour.csv,0.86,0.45,0.4,0.44,0.6,0.59,0.26,0.32,0.82,0.64,0.68,0.48,0.29,0.31,0.96,0.99,0.91,0.7
