,qtractor.csv,alleg.csv,ossbuild.csv,mimosa.csv,quarkplayer.csv,freewrl.csv,google-web-toolkit.csv,ns-3-dev-def-routing.csv,jstock.csv,synergyspace.csv,jcache.csv,fulguro.csv,miranda.csv
alleg.csv,0.52,0.51,0.42,0.58,0.63,0.44,0.56,0.74,0.52,0.56,0.58,0.94,0.46
freewrl.csv,0.48,0.46,0.41,0.42,0.47,0.41,0.52,0.55,0.52,0.68,0.39,0.57,0.38
fulguro.csv,0.92,0.96,0.99,0.86,0.98,0.91,0.97,0.98,0.5,0.96,0.95,0.91,0.78
google-web-toolkit.csv,0.88,0.5,0.84,0.94,0.49,0.47,0.51,0.69,0.8,0.77,0.61,0.52,0.57
jcache.csv,0.56,0.43,0.64,0.74,0.94,0.57,0.85,0.68,0.8,0.95,0.43,0.79,0.61
jstock.csv,0.73,0.68,0.98,0.83,0.96,0.0,0.97,0.97,0.77,0.92,0.75,0.89,0.93
mimosa.csv,0.55,0.44,0.51,0.56,0.85,0.0,0.43,0.64,0.44,0.44,0.44,0.9,0.39
miranda.csv,0.45,0.66,0.74,0.89,0.5,0.0,0.98,0.57,0.88,0.79,0.82,0.68,0.4
ns-3-dev-def-routing.csv,0.61,0.64,0.7,0.92,0.61,0.62,0.98,0.65,0.8,0.86,0.86,0.7,0.59
ossbuild.csv,0.83,0.87,0.96,0.91,0.97,0.71,0.98,0.98,0.67,0.88,0.83,0.76,0.98
qtractor.csv,0.46,0.88,0.84,0.81,0.56,0.47,0.77,0.66,0.75,0.91,0.82,0.4,0.54
quarkplayer.csv,0.8,0.93,0.0,0.0,0.89,0.86,0.99,0.98,0.52,0.69,0.94,0.8,0.97
synergyspace.csv,0.7,0.47,0.43,0.86,0.68,0.75,0.87,0.67,0.67,0.92,0.86,0.53,0.81
