,jlinalg.csv,psycle.csv,superwaba.csv,wxcrp.csv,fritzing.csv,arianne.csv,playerstage.csv,knowledge.csv,bl-toolkit.csv,gnukeda.csv,enlightenment.csv,massiv.csv,alsa.csv,amateur-scrolls.csv,doomlegacy.csv
alsa.csv,0.76,0.7,0.8,0.66,0.89,0.75,0.55,0.55,0.7,0.7,0.62,0.57,0.02,0.72,0.7
amateur-scrolls.csv,0.84,0.91,0.92,0.94,0.92,0.85,0.97,0.81,0.93,0.95,0.93,1.0,0.91,0.05,0.91
arianne.csv,0.73,0.7,0.6,0.57,0.59,0.06,0.82,0.73,0.57,0.67,0.83,0.82,0.78,0.82,0.74
bl-toolkit.csv,0.44,0.6,0.6,0.61,0.73,0.67,0.55,0.6,0.0,0.66,0.59,0.56,0.72,0.48,0.72
doomlegacy.csv,0.74,0.69,0.71,0.81,0.87,0.59,0.87,0.58,0.81,0.74,0.62,0.84,0.64,0.86,0.0
enlightenment.csv,0.48,0.63,0.53,0.63,0.52,0.69,0.53,0.38,0.65,0.55,0.03,0.46,0.7,0.59,0.59
fritzing.csv,0.56,0.61,0.54,0.69,0.03,0.67,0.49,0.67,0.61,0.54,0.64,0.51,0.73,0.46,0.59
gnukeda.csv,0.67,0.53,0.57,0.67,0.77,0.62,0.76,0.46,0.6,0.05,0.67,0.63,0.68,0.56,0.74
jlinalg.csv,0.0,0.61,0.69,0.67,0.85,0.62,0.71,0.82,0.61,0.46,0.6,0.63,0.59,0.81,0.94
knowledge.csv,0.5,0.59,0.79,0.92,0.78,0.6,0.98,0.0,0.79,0.55,0.85,0.88,0.75,0.76,0.97
massiv.csv,0.98,0.99,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
playerstage.csv,0.73,0.71,0.54,0.66,0.46,0.73,0.05,0.62,0.77,0.68,0.73,0.59,0.84,0.64,0.65
psycle.csv,0.42,0.04,0.48,0.65,0.56,0.64,0.72,0.24,0.64,0.59,0.58,0.8,0.71,0.62,0.76
superwaba.csv,0.51,0.7,0.04,0.56,0.49,0.62,0.52,0.55,0.45,0.52,0.73,0.51,0.68,0.63,0.61
wxcrp.csv,0.98,0.74,0.72,0.06,0.78,0.85,0.75,0.74,0.79,0.88,0.86,0.76,0.69,0.95,0.79
