,beast-mcmc.csv,jrefactory.csv,adonthell.csv,jaxlib.csv,nodal.csv,exist.csv,pokenetonline.csv,foursquared.csv,avisynth2.csv,dataobjectsdotnet.csv,simplewebservices.csv,opendvr.csv,uface.csv
adonthell.csv,10.0,0.0,0.0,12.0,4.0,9.0,0.0,0.0,38.0,1.0,0.0,0.0,3.0
avisynth2.csv,241.0,88.0,107.0,0.0,85.0,196.0,0.0,69.0,0.0,1.0,240.0,74.0,161.0
beast-mcmc.csv,0.0,4.0,1.0,16.0,2.0,3.0,0.0,2.0,12.0,0.0,1.0,4.0,0.0
dataobjectsdotnet.csv,2.0,0.0,0.0,9.0,0.0,6.0,3.0,0.0,15.0,0.0,0.0,0.0,5.0
exist.csv,8.0,2.0,3.0,49.0,2.0,0.0,0.0,10.0,11.0,8.0,0.0,74.0,0.0
foursquared.csv,5.0,0.0,1.0,49.0,0.0,5.0,0.0,0.0,64.0,0.0,2.0,2.0,4.0
jaxlib.csv,0.0,0.0,0.0,0.0,85.0,196.0,84.0,69.0,64.0,0.0,240.0,74.0,1.0
jrefactory.csv,5.0,0.0,0.0,20.0,7.0,3.0,0.0,2.0,21.0,5.0,0.0,0.0,0.0
nodal.csv,2.0,2.0,3.0,49.0,0.0,9.0,1.0,2.0,12.0,1.0,0.0,0.0,2.0
opendvr.csv,17.0,0.0,3.0,22.0,8.0,7.0,0.0,2.0,18.0,0.0,0.0,0.0,0.0
pokenetonline.csv,18.0,0.0,1.0,18.0,6.0,3.0,0.0,1.0,18.0,0.0,11.0,0.0,0.0
simplewebservices.csv,31.0,1.0,4.0,49.0,2.0,9.0,2.0,8.0,25.0,1.0,0.0,3.0,0.0
uface.csv,5.0,2.0,1.0,28.0,5.0,4.0,0.0,5.0,32.0,1.0,9.0,0.0,0.0
