,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,bdbbasic.csv,pgui.csv,google-gears.csv,bibletime.csv,crux-framework.csv
aufs.csv,0.89,0.96,0.7,0.94,0.92,0.67,0.89,0.94,0.93,0.91,0.92
bdbbasic.csv,0.4,0.43,0.4,0.43,0.42,0.36,0.67,0.36,0.42,0.4,0.36
bibletime.csv,0.45,0.5,0.43,0.52,0.48,0.37,0.52,0.47,0.5,0.39,0.46
crux-framework.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
etherboot.csv,0.53,0.78,0.98,0.59,0.86,0.86,0.75,0.97,0.72,0.78,0.68
gnukeda.csv,0.63,0.4,0.53,0.57,0.42,0.41,0.55,0.47,0.68,0.49,0.49
google-gears.csv,0.43,0.52,0.58,0.45,0.48,0.51,0.46,0.52,0.49,0.38,0.51
jnode.csv,0.0,0.75,0.9,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0
openmeetings.csv,0.93,0.95,0.98,0.83,0.89,0.56,0.75,0.69,0.95,0.91,0.67
pgui.csv,0.76,0.57,0.99,0.8,0.83,0.53,0.82,0.73,0.77,0.62,0.68
wxcrp.csv,0.68,0.78,0.52,0.8,0.6,0.43,0.8,0.46,0.66,0.88,0.47
