,xbrlapi.csv,vdsf.csv,nuttx.csv,dvt.csv,utgb.csv,ldview.csv,fw4spl.csv,google-web-toolkit.csv,jstock.csv,fulguro.csv
dvt.csv,0.83,0.88,0.77,0.05,0.83,0.91,0.88,0.79,0.92,0.59
fulguro.csv,0.95,0.96,0.88,1.01,0.74,1.0,0.98,0.99,0.92,0.0
fw4spl.csv,0.82,0.73,0.76,0.84,0.97,0.73,0.1,0.92,0.97,0.67
google-web-toolkit.csv,0.62,0.95,0.77,0.68,0.69,0.64,0.74,0.01,0.61,0.68
jstock.csv,0.86,0.9,0.75,0.89,0.74,0.67,0.72,0.85,0.08,0.75
ldview.csv,0.92,0.77,0.79,0.93,0.68,0.05,0.83,0.82,0.7,0.94
nuttx.csv,0.81,0.95,0.03,0.54,0.93,0.73,0.87,0.67,0.66,0.79
utgb.csv,0.83,0.92,0.76,0.81,0.0,0.52,0.57,0.76,0.7,0.92
vdsf.csv,1.0,0.15,1.0,0.89,0.97,1.0,0.89,0.94,0.95,1.0
xbrlapi.csv,0.07,0.86,0.72,0.7,0.9,0.71,0.66,0.66,0.71,0.48
