,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,ogre.csv,autat.csv,mimosa.csv,qdvdauthor.csv,moast.csv,biodwh.csv,jcache.csv,zxing.csv
autat.csv,0.48,0.75,0.39,0.55,0.63,0.64,0.0,0.84,0.87,0.54,0.55,0.55,0.47,0.89,0.72
biodwh.csv,0.38,0.99,0.66,0.79,0.88,0.92,0.75,0.95,0.0,0.9,0.88,0.67,0.92,0.75,0.91
brlcad.csv,0.38,0.84,0.47,0.45,0.51,0.48,0.45,0.48,0.37,0.44,0.37,0.39,0.49,0.56,0.39
delphilhlplib.csv,0.35,0.45,0.4,0.44,0.45,0.46,0.44,0.46,0.38,0.43,0.4,0.38,0.38,0.53,0.35
exordium.csv,0.89,0.46,0.47,0.94,0.72,0.7,0.48,0.98,0.62,0.53,0.93,0.71,0.94,0.73,0.94
fltk.csv,0.38,0.62,0.56,0.54,0.54,0.54,0.62,0.91,0.65,0.76,0.52,0.42,0.78,0.83,0.86
gzigzag.csv,0.86,0.99,0.74,0.69,0.71,0.79,0.79,0.73,0.89,0.75,0.72,0.95,0.85,0.93,0.92
jcache.csv,0.4,0.41,0.39,0.65,0.59,0.37,0.45,0.45,0.35,0.37,0.48,0.43,0.32,0.43,0.38
mimosa.csv,0.33,0.49,0.38,0.49,0.46,0.48,0.45,0.77,0.41,0.54,0.52,0.94,0.43,0.39,0.52
moast.csv,0.33,0.45,0.4,0.42,0.41,0.34,0.34,0.42,0.3,0.39,0.37,0.43,0.3,0.37,0.31
mptvseries.csv,0.32,0.52,0.89,0.58,0.58,0.56,0.55,0.96,0.62,0.65,0.71,0.89,0.92,0.64,0.86
ogre.csv,0.33,0.45,0.38,0.42,0.41,0.39,0.38,0.43,0.35,0.36,0.39,0.38,0.34,0.52,0.37
qdvdauthor.csv,0.77,0.72,0.86,0.55,0.49,0.95,0.54,0.71,0.69,0.49,0.45,0.71,0.92,0.52,0.56
sauerbraten.csv,0.39,0.49,0.38,0.55,0.57,0.44,0.58,0.6,0.56,0.6,0.54,0.62,0.38,0.5,0.63
zxing.csv,0.52,0.8,0.66,0.48,0.62,0.71,0.52,0.51,0.65,0.57,0.35,0.77,0.45,0.8,0.41
