,recall,precision,pf,wins
acdk.csv,0.31,0.71,0.1,16
amygdala.csv,0.35,0.44,0.37,2
awemud.csv,0.64,0.43,0.47,6
bullet.csv,0.69,0.37,0.67,0
customwars.csv,0.12,0.51,0.07,12
dvd-create.csv,0.67,0.43,0.54,3
gbif-indexingtoolkit.csv,0.19,0.56,0.09,13
go.csv,0.66,0.47,0.54,5
growl-for-windows.csv,0.56,0.58,0.3,15
kwave.csv,0.37,0.5,0.29,10
libarchive.csv,0.64,0.57,0.34,14
linux-ntfs.csv,0.47,0.48,0.34,9
lsb.csv,0.78,0.56,0.61,7
mpgravity.csv,0.5,0.5,0.4,8
qcad2.csv,0.45,0.53,0.46,4
qtwin.csv,0.0,0.0,0.0,1
roller.csv,0.53,0.47,0.33,11
