,agilitybook.csv,gpsmid.csv,empyrean.csv,rectracker.csv,barracudamvc.csv,jajuk.csv,zorannt.csv,sarasvati.csv,gogoego.csv,autoopencas.csv,gbif-providertoolkit.csv,k3d.csv,aime.csv,encog-cs.csv
agilitybook.csv,0.39,0.45,0.49,0.55,0.47,0.3,0.7,0.27,0.34,0.02,0.5,0.0,0.43,0.58
aime.csv,0.03,0.98,1.0,1.0,1.0,0.89,1.0,1.0,0.65,0.0,1.0,0.0,0.29,0.97
autoopencas.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.43,0.0,0.0,0.0,0.0
barracudamvc.csv,0.71,0.94,1.0,0.88,0.97,0.83,1.0,1.0,0.83,0.2,1.0,0.7,1.0,0.95
empyrean.csv,0.0,0.24,0.8,0.16,0.3,0.01,0.65,0.45,0.0,0.0,0.64,0.0,0.0,0.05
encog-cs.csv,0.05,0.35,0.65,0.82,0.61,0.3,0.7,0.09,0.11,0.0,0.79,0.17,0.29,0.42
gbif-providertoolkit.csv,0.0,0.04,0.51,0.12,0.15,0.01,0.43,0.36,0.11,0.0,0.5,0.0,0.0,0.08
gogoego.csv,0.03,0.9,0.99,0.89,0.98,0.37,1.0,0.91,0.33,0.0,0.86,0.0,0.0,0.47
gpsmid.csv,0.34,0.9,0.91,0.62,0.51,0.58,0.91,0.82,0.37,0.0,0.79,0.23,0.36,0.45
jajuk.csv,0.55,0.96,0.99,0.96,0.99,0.8,1.0,0.91,0.88,0.09,1.0,0.27,0.71,0.89
k3d.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rectracker.csv,0.82,0.94,0.81,0.91,0.93,0.87,0.96,1.0,0.99,1.0,1.0,0.97,1.0,0.65
sarasvati.csv,0.0,0.0,0.57,0.0,0.1,0.0,0.22,0.27,0.0,0.0,0.07,0.0,0.0,0.0
zorannt.csv,0.0,0.0,0.77,0.0,0.17,0.0,0.39,0.18,0.0,0.0,0.5,0.0,0.0,0.0
