,ltp.csv,konversation.csv,moviesandbox.csv,sepgsql.csv,migen.csv,mcmc-jags.csv,cataclysmos.csv,ildjit.csv,opengs.csv,tcl.csv,phonon-vlc-mplayer.csv,openxava.csv,unflobtactical.csv,micomt.csv,nebuladevice.csv,passwordsafe.csv,exl.csv,crux-framework.csv
cataclysmos.csv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crux-framework.csv,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.67
exl.csv,0.0,1.0,0.98,0.0,0.97,0.73,1.0,0.0,0.93,0.0,0.0,0.19,0.97,0.0,0.6,0.23,0.95,1.0
ildjit.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
konversation.csv,0.0,0.67,0.39,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0
ltp.csv,0.92,1.0,1.0,0.0,1.0,0.87,1.0,0.86,1.0,0.36,0.99,1.0,0.97,0.77,1.0,0.88,1.0,1.0
mcmc-jags.csv,0.0,0.67,0.82,0.0,0.32,0.87,1.0,0.0,0.78,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.05,0.33
micomt.csv,0.14,1.0,0.95,0.0,0.82,0.73,1.0,0.14,0.94,0.08,0.83,0.75,0.91,0.69,0.47,0.67,0.98,1.0
migen.csv,0.0,0.92,0.95,0.0,0.79,0.53,1.0,0.0,0.54,0.0,0.0,0.0,0.89,0.0,0.0,0.0,0.17,1.0
moviesandbox.csv,0.0,0.58,0.77,0.0,0.0,0.8,1.0,0.0,0.37,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0
nebuladevice.csv,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.33
opengs.csv,0.0,0.75,0.86,0.0,0.35,0.87,1.0,0.0,0.85,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.12,0.67
openxava.csv,0.0,1.0,1.0,0.0,0.97,1.0,1.0,0.0,1.0,0.0,0.0,0.62,1.0,0.0,0.4,0.19,0.9,0.67
passwordsafe.csv,0.01,0.92,1.0,0.0,0.88,0.93,1.0,0.34,0.98,0.0,0.46,0.88,1.0,0.08,0.73,0.61,0.98,1.0
phonon-vlc-mplayer.csv,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.17,1.0,0.0,0.67,1.0,1.0,0.0,0.93,0.58,1.0,1.0
sepgsql.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tcl.csv,0.09,0.67,0.66,0.0,0.79,0.27,1.0,0.21,0.89,0.62,0.03,0.19,0.71,0.23,0.6,0.39,0.24,1.0
unflobtactical.csv,1.0,0.75,0.8,1.0,0.97,0.13,0.0,1.0,1.0,1.0,1.0,1.0,0.91,1.0,1.0,1.0,1.0,1.0
