,dvd-create.csv,phonon-vlc-mplayer.csv,tktoolkit.csv,mpgravity.csv,myfaces.csv,empserver.csv,ppcboot.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,echongl.csv,ultimairis.csv,gdis.csv,gmerlin.csv,passwordsafe.csv,growl-for-windows.csv,sandiaportals.csv,nativeclient.csv,wikipediardware.csv
amateur-scrolls.csv,0.0,0.98,0.9,0.0,0.67,0.0,0.0,0.6,0.5,0.79,0.57,0.0,0.94,0.95,0.89,0.45,0.86,0.0
dvd-create.csv,0.41,0.44,0.49,0.0,0.4,0.5,0.6,0.44,0.38,0.36,0.4,0.37,0.39,0.47,0.38,0.4,0.48,0.42
echongl.csv,0.86,0.53,0.64,0.4,0.55,0.65,0.0,0.8,0.8,0.36,0.48,0.42,0.54,0.41,0.67,0.42,0.7,0.86
empserver.csv,0.5,0.47,0.42,0.38,0.52,0.55,0.7,0.51,0.44,0.29,0.38,0.38,0.35,0.42,0.62,0.37,0.56,0.69
gdis.csv,0.47,0.58,0.74,0.38,0.64,0.64,0.86,0.76,0.39,0.36,0.88,0.37,0.51,0.61,0.73,0.42,0.67,0.53
gmerlin.csv,0.38,0.67,0.0,0.0,0.41,0.35,0.36,0.41,0.36,0.75,0.36,0.3,0.5,0.56,0.43,0.39,0.93,0.42
growl-for-windows.csv,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.86,0.0,0.9,0.0,0.0,0.0,0.61,0.37,0.0,0.42
mpgravity.csv,0.39,0.5,0.57,0.5,0.42,0.39,0.59,0.4,0.42,0.31,0.4,0.35,0.42,0.43,0.47,0.37,0.52,0.4
myfaces.csv,0.51,0.76,0.5,0.4,0.59,0.38,0.37,0.75,0.86,0.34,0.92,0.3,0.59,0.58,0.86,0.48,0.72,0.5
nativeclient.csv,0.5,0.55,0.38,0.38,0.59,0.56,0.69,0.83,0.49,0.36,0.46,0.41,0.6,0.45,0.64,0.42,0.61,0.52
passwordsafe.csv,0.53,0.6,0.56,0.6,0.42,0.4,0.63,0.75,0.4,0.3,0.64,0.34,0.45,0.57,0.58,0.38,0.61,0.47
phonon-vlc-mplayer.csv,0.49,0.84,0.48,0.75,0.43,0.59,0.66,0.75,0.54,0.39,0.76,0.41,0.72,0.64,0.58,0.47,0.63,0.47
ppcboot.csv,0.42,0.52,0.48,0.38,0.42,0.42,0.87,0.44,0.39,0.3,0.48,0.39,0.41,0.44,0.45,0.41,0.52,0.43
rtrt-on-gpu.csv,0.55,0.62,0.45,0.67,0.75,0.42,0.58,0.91,0.88,0.88,0.63,0.45,0.76,0.53,0.69,0.83,0.57,0.76
sandiaportals.csv,0.51,0.83,0.72,0.67,0.44,0.71,0.93,0.73,0.44,0.36,0.53,0.57,0.63,0.59,0.73,0.46,0.7,0.47
tktoolkit.csv,0.51,0.51,0.73,0.43,0.41,0.46,0.65,0.48,0.39,0.33,0.46,0.37,0.4,0.59,0.37,0.43,0.5,0.54
ultimairis.csv,0.41,0.81,0.4,0.5,0.46,0.51,0.63,0.5,0.69,0.38,0.68,0.35,0.73,0.58,0.89,0.47,0.65,0.41
wikipediardware.csv,0.41,0.48,0.36,0.45,0.43,0.41,0.48,0.56,0.4,0.3,0.39,0.33,0.36,0.45,0.41,0.38,0.5,0.48
