,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,arm-webradio.csv
alleg.csv,0.77,0.52,0.88,0.49,0.45,0.59,0.86,0.5,0.38,0.46,0.48,0.35,0.52,0.59,0.43,0.52,0.76
arm-webradio.csv,0.57,0.61,0.88,0.65,0.45,0.69,0.67,0.94,0.38,0.48,0.89,0.67,0.73,0.63,0.41,0.51,0.71
bwapi.csv,0.46,0.46,0.43,0.5,0.53,0.42,0.36,0.38,0.98,0.58,0.36,0.48,0.44,0.46,0.78,0.65,0.65
co-ode-owl-plugins.csv,0.58,0.66,0.69,0.58,0.44,0.59,0.83,0.95,0.36,0.43,0.8,0.81,0.83,0.56,0.44,0.48,0.7
firebreath.csv,0.47,0.45,0.41,0.49,0.38,0.49,0.77,0.5,0.4,0.48,0.76,0.41,0.52,0.57,0.61,0.62,0.6
frogatto.csv,0.34,0.39,0.38,0.45,0.38,0.39,0.33,0.35,0.41,0.51,0.36,0.34,0.32,0.45,0.41,0.45,0.49
gretl.csv,0.42,0.47,0.52,0.64,0.39,0.49,0.44,0.5,0.47,0.42,0.62,0.41,0.53,0.47,0.43,0.52,0.53
jasperreports.csv,0.68,0.51,0.42,0.56,0.56,0.45,0.35,0.39,0.56,0.94,0.36,0.47,0.47,0.7,0.75,0.88,0.72
konversation.csv,0.53,0.88,0.5,0.87,0.58,0.48,0.93,0.95,0.93,0.51,0.8,0.64,0.76,0.58,0.89,0.7,0.88
linuxsh.csv,0.74,0.59,0.7,0.97,0.38,0.87,0.67,0.86,0.37,0.5,0.0,0.97,0.93,0.98,0.41,0.56,0.7
moviesandbox.csv,0.5,0.89,0.53,0.78,0.42,0.53,0.9,0.94,0.65,0.47,0.67,0.97,0.94,0.66,0.57,0.57,0.93
ontomorphtab.csv,0.39,0.45,0.4,0.48,0.43,0.4,0.33,0.36,0.35,0.44,0.39,0.41,0.42,0.41,0.41,0.54,0.56
opengs.csv,0.83,0.52,0.62,0.65,0.39,0.56,0.8,0.67,0.56,0.62,0.0,0.59,0.65,0.6,0.57,0.7,0.75
scite-ru.csv,0.45,0.43,0.48,0.56,0.39,0.45,0.6,0.48,0.42,0.44,0.39,0.44,0.54,0.46,0.41,0.47,0.5
tokratan.csv,0.5,0.54,0.67,0.73,0.38,0.61,0.5,0.0,0.89,0.67,0.82,0.41,0.52,0.52,0.88,0.89,0.59
vrjuggler.csv,0.64,0.0,0.74,0.88,0.6,0.93,0.9,0.97,0.73,0.85,0.55,0.75,0.75,0.68,0.52,0.65,0.0
xuggle.csv,0.48,0.4,0.59,0.68,0.38,0.47,0.36,0.52,0.51,0.7,0.54,0.45,0.38,0.47,0.42,0.51,0.44
